DataDate,UpdateTime,AcctIDByMXZ,SecurityID,WindCode,Symbol,TgtQty,MarginOrNotMark,AvlQtyInPrivatePool,AvlQtyInPublicPool,QuotaRealTime,QuotaToTerminate,QuotaOnLastTrdDate,OrdQtyFromPublicSecLoan,OrdQtyFromPrivateSecLoan,OrdQtyFromPrivateSSQSecLoan,OrdQtyFromPrivateJPQSecLoan,OrdQtyFromOutsideSource
20210119,130940,8111_m_huat_9239,000711,000711.SZ,京蓝科技,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000713,000713.SZ,丰乐种业,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000715,000715.SZ,中兴商业,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000718,000718.SZ,苏宁环球,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000720,000720.SZ,新能泰山,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000721,000721.SZ,西安饮食,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000722,000722.SZ,湖南发展,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000725,000725.SZ,京东方A,29300,1,928100.0,0,29500.0,200.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000732,000732.SZ,泰禾集团,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000733,000733.SZ,振华科技,3400,1,12600.0,0,7600.0,4200.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000738,000738.SZ,航发控制,8200,1,0,0,8300.0,100.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000752,000752.SZ,*ST西发,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000762,000762.SZ,西藏矿业,12000,1,0,0,0.0,0.0,0,0.0,0.0,0,0,12000
20210119,130940,8111_m_huat_9239,000766,000766.SZ,通化金马,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000767,000767.SZ,晋控电力,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130940,8111_m_huat_9239,000791,000791.SZ,甘肃电投,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000793,000793.SZ,华闻集团,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000796,000796.SZ,凯撒旅业,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000798,000798.SZ,中水渔业,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000799,000799.SZ,酒鬼酒,1200,1,0,0,0.0,0.0,0,0.0,0.0,0,0,1200
20210119,130941,8111_m_huat_9239,000802,000802.SZ,北京文化,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000809,000809.SZ,铁岭新城,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000813,000813.SZ,德展健康,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000816,000816.SZ,智慧农业,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000820,000820.SZ,*ST节能,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000821,000821.SZ,京山轻机,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000822,000822.SZ,山东海化,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000835,000835.SZ,*ST长动,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000856,000856.SZ,冀东装备,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000862,000862.SZ,银星能源,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000868,000868.SZ,ST安凯,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000881,000881.SZ,中广核技,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000887,000887.SZ,中鼎股份,17900,1,0,0,0.0,0.0,0,0.0,0.0,0,0,17900
20210119,130941,8111_m_huat_9239,000890,000890.SZ,*ST胜尔,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000892,000892.SZ,欢瑞世纪,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000899,000899.SZ,赣能股份,35400,1,0,0,0.0,0.0,0,0.0,0.0,0,0,35400
20210119,130941,8111_m_huat_9239,000908,000908.SZ,景峰医药,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000913,000913.SZ,钱江摩托,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000917,000917.SZ,电广传媒,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000918,000918.SZ,嘉凯城,0,1,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000920,000920.SZ,南方汇通,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000923,000923.SZ,河钢资源,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000927,000927.SZ,中国铁物,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000929,000929.SZ,兰州黄河,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
20210119,130941,8111_m_huat_9239,000933,000933.SZ,神火股份,29200,1,0,0,0.0,0.0,0,0.0,0.0,0,0,29200
20210119,130941,8111_m_huat_9239,000936,000936.SZ,华西股份,26900,1,0,0,0.0,0.0,0,0.0,0.0,0,0,26900
20210119,130941,8111_m_huat_9239,000953,000953.SZ,*ST河化,0,0,0,0,0.0,0.0,0,0.0,0.0,0,0,0
