仓位,,,,,,,,,,,
账户,代码,名称,股数,浮盈,均价,,,,,,
msm7haiti,300134,undefined,-19600,1449.37,10.05,,,,,,
msm7haiti,601717,undefined,-12500,2774.53,10.37,,,,,,
msm7haiti,2085,undefined,-7300,652.78,6.63,,,,,,
msm7haiti,300142,undefined,-5500,5111.49,39.22,,,,,,
msm7haiti,688288,undefined,-5244,-1459.88,35.99,,,,,,
msm7haiti,688116,undefined,-4500,-6511.52,53.64,,,,,,
msm7haiti,2466,undefined,-4100,-2373.13,36.66,,,,,,
msm7haiti,688196,undefined,-3300,333.06,65.43,,,,,,
msm7haiti,300357,undefined,-3000,-192,73.34,,,,,,
msm7haiti,300294,undefined,-2300,323.16,34.78,,,,,,
msm7haiti,688300,undefined,-1900,396.45,46.94,,,,,,
msm7haiti,300759,undefined,-1800,3296.24,118.35,,,,,,
msm7haiti,2812,undefined,-1400,-8007.81,135.49,,,,,,
msm7haiti,603678,undefined,-1400,705.33,62.91,,,,,,
msm7haiti,2353,undefined,-1200,689.89,34.55,,,,,,
msm7haiti,688021,undefined,-1100,767.36,64.15,,,,,,
msm7haiti,688108,undefined,-900,286.23,13.79,,,,,,
msm7haiti,2670,undefined,-700,86.81,11.8,,,,,,
msm7haiti,2460,undefined,-200,-527,96.42,,,,,,
msm7haiti,688030,undefined,-200,58.15,30.84,,,,,,
msm7haiti,688321,undefined,-93,98.67,38.31,,,,,,
msm7haiti,688389,undefined,5400,-2609.75,21.17,,,,,,
msm7haiti,300326,undefined,13400,-2220.74,16.24,,,,,,
总利润：,-6872.31129,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
9:38:52,msm7haiti,SJNAT6a237722fa434f06bb7c6ba32f702988,153,688021,奥福环保,63.75,1100,0,0,1100,已撤
9:38:53,msm7haiti,SJNATda207648899344ce9186f21054322558,154,688116,天奈科技,53.84,-600,0,0,600,已撤
9:39:21,msm7haiti,SJNATbc3508024b0449df96edc323bb4e97c3,158,688022,瀚川智能,32.6,1700,0,0,1700,已撤
9:39:28,msm7haiti,SJNATd78e41b452654416a902953e43b34ad0,159,688022,瀚川智能,32.6,100,0,0,0,废单
9:39:57,msm7haiti,SJNAT2d9f27a5e7b841b2986ae84c5424dea3,161,688022,瀚川智能,32.68,700,32.6359,700,0,已成
9:40:21,msm7haiti,SJNATcbccd1691bc14eb2b057fa38f9163468,162,688022,瀚川智能,32.72,900,32.69,900,0,已成
9:40:27,msm7haiti,SJNAT1aec4b1dff144c72b7dc8194a0d65646,163,688030,山石网科,30.84,-200,30.84,-200,0,已成
9:40:28,msm7haiti,SJNAT066fc456b54843a39ddc869c56379685,164,688022,瀚川智能,32.71,900,32.7,900,0,已成
9:40:50,msm7haiti,SJNAT0ee2c73a4e21426dbe664c683b56deb1,165,688022,瀚川智能,32.81,900,0,0,900,已撤
9:40:50,msm7haiti,SJNAT14f62005d9e840c69dea7a48754898a5,166,688288,鸿泉物联,35.86,1500,0,0,1500,已撤
9:41:28,msm7haiti,SJNATad4dcb3cfbee4788b72915b820dd279f,168,2812,恩捷股份,135.47,-1400,135.4886,-1400,0,已成
9:41:28,msm7haiti,SJNATe7d0c17971a94fcb966782fedcb7a508,169,688116,天奈科技,53.95,-1200,53.95,-1200,0,已成
9:41:53,msm7haiti,SJNAT5cb93abe9c2a4d329e47dcbb8a111c8d,170,2670,国盛金控,11.8,-700,11.80286,-700,0,已成
9:41:57,msm7haiti,SJNATa6241ff4d2bf4198b8a2ba93c691605f,171,688022,瀚川智能,32.69,1000,0,0,1000,已撤
9:42:28,msm7haiti,SJNAT5e818e057cfb470b94ab06a27b4f0de4,174,688022,瀚川智能,32.91,1000,32.89332,1000,0,已成
9:42:28,msm7haiti,SJNAT0358b1df2e194da4997ba6462e8e837f,175,688116,天奈科技,54.14,-300,54.15617,-300,0,已成
9:42:53,msm7haiti,SJNATdb2aeebf3d704535bb8f900cffe1cbaf,176,2353,杰瑞股份,34.71,-600,0,0,600,已撤
9:43:54,msm7haiti,SJNAT7a22bcffaca34813b27e8e0b76057e16,178,300294,博雅生物,34.93,-700,0,0,700,已撤
9:44:23,msm7haiti,SJNATe3509f8435244fc9b6028e90d28bba6b,180,2353,杰瑞股份,34.55,-1200,34.55,-1200,0,已成
9:44:26,msm7haiti,SJNAT132aab45f5d84799853895e3ea1c23a7,181,300294,博雅生物,34.85,-3500,0,0,3500,已撤
9:45:23,msm7haiti,SJNAT98be6dd91af14826ae0f6b0e70f203a1,183,2074,国轩高科,37.29,1000,37.29,1000,0,已成
9:46:09,msm7haiti,SJNATf3744b0b43a64fcbbbab2e446bddeb63,184,300357,我武生物,73.29,-1600,73.3,-1600,0,已成
9:46:11,msm7haiti,SJNATcbcfce963eb949d2b4fef782e07f8ff4,185,300357,我武生物,73.42,-1200,73.42,-1200,0,已成
9:46:29,msm7haiti,SJNAT42fb52ce97094a2c9b72f7876c4f1771,186,300294,博雅生物,34.74,-1700,34.75,-1700,0,已成
9:47:13,msm7haiti,SJNATabbc584a6b39460abd4e25049ff6bb19,187,300357,我武生物,73.23,-200,73.23,-200,0,已成
9:47:13,msm7haiti,SJNAT5c9187266f2a4e52ac8cc2b4ce096463,188,300294,博雅生物,34.85,-1600,34.85,-600,1000,已撤
9:50:15,msm7haiti,SJNAT82ba5da2f7e845a8a258fcdfcbce604f,191,300134,大富科技,10.04,-19600,10.05,-19600,0,已成
9:50:34,msm7haiti,SJNATe5afecab66d64e02952376b7d240f607,192,688321,微芯生物,38.07,-2900,0,0,2900,已撤
9:53:07,msm7haiti,SJNAT2f972edf0e48413bb355bd094a7893bc,194,603678,火炬电子,62.94,-1100,63,-1100,0,已成
9:53:09,msm7haiti,SJNAT8650f72e02e84522a3b4eb9bdb3c101f,195,300168,万达信息,20.91,-2600,20.91,-2600,0,已成
9:54:02,msm7haiti,SJNAT5d668ed574a14a6fb179be83df0d489c,196,300168,万达信息,20.93,-4200,20.96,-4200,0,已成
9:54:59,msm7haiti,SJNATe6a93f3929d047d9880092fb96fe4863,197,688321,微芯生物,37.76,-500,37.76,-199,301,已撤
9:56:59,msm7haiti,SJNAT8835a0d928a142508e41c755b2e9ea5c,199,300168,万达信息,20.98,-1000,20.98,-1000,0,已成
9:57:02,msm7haiti,SJNAT5dca0c53771748729fe9c93c0de5f13c,200,300168,万达信息,20.97,-400,20.98,-400,0,已成
9:58:56,msm7haiti,SJNAT75c4c829920d403a836c96e2a83252e2,202,625,长安汽车,22.54,1600,22.5325,1600,0,已成
10:02:02,msm7haiti,SJNAT3c38d43342e34b27b8a4710073201a63,204,688021,奥福环保,62.72,800,0,0,800,已撤
10:02:26,msm7haiti,SJNATc8c315812aff4894903e2bc4c1c3d381,205,639,西王食品,6.66,21800,6.66,21800,0,已成
10:03:15,msm7haiti,SJNAT0763de5d3216476db7eed79602c98b4f,207,688321,微芯生物,36.74,1800,36.74,1800,0,已成
10:05:21,msm7haiti,SJNAT7442b14a39ba4f869df357b75bac1d36,208,300168,万达信息,21.25,8200,21.24,8200,0,已成
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
信息统计,,,,,,,,,,,
账户,代码,名称,利润,笔数,股数,交易额,费用,,,,
msm7haiti,639,undefined,-2837.37,undefined,34800,459505,366.37,,,,
msm7haiti,300168,undefined,-2673.55,undefined,8200,345938,275.55,,,,
msm7haiti,300274,undefined,-589.13,1,1000,136720,109.14,,,,
msm7haiti,2074,undefined,-209.47,1,1000,74430,59.47,,,,
msm7haiti,2382,undefined,-37.04,undefined,1000,46300,37.04,,,,
msm7haiti,601717,undefined,251.27,undefined,4700,96961,77.73,,,,
msm7haiti,688022,undefined,697.07,undefined,3500,230060.5,184.49,,,,
msm7haiti,625,undefined,1216.66,undefined,1600,73380,59.34,,,,
msm7haiti,603678,undefined,1542.41,undefined,2200,270892,217.59,,,,
msm7haiti,768,undefined,2612.59,1,6600,444906,357.41,,,,
msm7haiti,688321,undefined,2719.94,undefined,1800,135093.4,109.49,,,,
msm7haiti,603799,undefined,3100.02,undefined,2800,375358,301.99,,,,
msm7haiti,600456,undefined,3713.18,undefined,4400,428492,344.82,,,,
总利润：,9506.5788,,,,,,,,,,
