未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
09:30:31.698,mslh18hait6618,75,000516,国际医学,11.84,-4300,11.85117,-856,0,未成
10:01:30.926,mslh18hait6618,5455,600746,江苏索普,6.6,10200,6.6,7600,0,未成
10:01:55.863,mslh18hait6618,5461,002239,奥特佳,4.92,65200,0,0,0,已报
10:01:00.758,mslh18hait6618,5437,603306,华懋科技,22.59,3900,22.59,2300,0,未成
10:02:01.432,mslh18hait6618,5472,300604,长川科技,29.51,1700,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
mslh18hait6618,002829,undefined,-100,116.93,38.16
mslh18hait6618,002782,undefined,-100,6.92,13.01
mslh18hait6618,002777,undefined,-100,-2.52,22.02
mslh18hait6618,002757,undefined,-100,-7.31,14.43
mslh18hait6618,002609,undefined,-100,-4.43,8.95
mslh18hait6618,002312,undefined,-100,-0.90,5.65
mslh18hait6618,000553,undefined,-100,-6.28,7.98
mslh18hait6618,603990,undefined,8,0.07,31.86
mslh18hait6618,603877,undefined,100,31.07,30.55
mslh18hait6618,603755,undefined,100,-19.83,74.00
mslh18hait6618,603489,undefined,100,117.75,181.64
mslh18hait6618,300658,undefined,100,13.56,27.58
mslh18hait6618,002901,undefined,100,-151.71,74.32
mslh18hait6618,002313,undefined,100,11.22,11.00
mslh18hait6618,000599,undefined,100,9.33,4.11
mslh18hait6618,000004,undefined,100,8.53,21.57
mslh18hait6618,002441,undefined,100,5.69,8.12
mslh18hait6618,002798,undefined,100,-17.89,18.20
mslh18hait6618,603618,undefined,100,-3.95,5.97
mslh18hait6618,600168,undefined,100,-2.12,6.98
mslh18hait6618,600436,undefined,200,-59.26,247.60
mslh18hait6618,600132,undefined,200,30.13,111.82
mslh18hait6618,002276,undefined,200,7.43,8.00
mslh18hait6618,000955,undefined,200,-4.22,6.94
mslh18hait6618,688368,undefined,200,-41.79,161.80
mslh18hait6618,300369,undefined,200,-14.50,14.10
mslh18hait6618,603806,undefined,200,-103.60,86.55
mslh18hait6618,600038,undefined,200,-191.76,56.50
mslh18hait6618,603899,undefined,300,-20.69,86.79
mslh18hait6618,600874,undefined,300,32.74,6.69
mslh18hait6618,600391,undefined,300,-203.20,23.85
mslh18hait6618,000400,undefined,300,-4.80,16.25
mslh18hait6618,603198,undefined,300,-251.89,33.74
mslh18hait6618,002267,undefined,300,17.77,6.67
mslh18hait6618,601139,undefined,400,27.18,7.46
mslh18hait6618,603167,undefined,400,22.24,8.95
mslh18hait6618,002180,undefined,400,7.32,26.01
mslh18hait6618,600850,undefined,500,44.28,25.80
mslh18hait6618,300685,undefined,500,350.92,66.95
mslh18hait6618,300489,undefined,500,-116.62,33.42
mslh18hait6618,300590,undefined,600,-36.01,25.03
mslh18hait6618,600021,undefined,600,4.96,7.32
mslh18hait6618,300310,undefined,600,-16.76,4.97
mslh18hait6618,002551,undefined,600,-24.42,6.71
mslh18hait6618,603298,undefined,600,-86.57,21.52
mslh18hait6618,002920,undefined,700,-660.14,74.90
mslh18hait6618,600426,undefined,700,-2.22,36.14
mslh18hait6618,300324,undefined,700,-4.64,4.14
mslh18hait6618,300038,undefined,700,-144.29,3.99
mslh18hait6618,603260,undefined,700,-226.62,40.05
mslh18hait6618,002595,undefined,700,-120.72,26.64
mslh18hait6618,300456,undefined,800,66.38,23.04
mslh18hait6618,603337,undefined,800,-350.71,30.56
mslh18hait6618,300308,undefined,800,-527.56,50.13
mslh18hait6618,002430,undefined,900,265.99,27.51
mslh18hait6618,002304,undefined,900,-2083.75,217.40
mslh18hait6618,688099,undefined,1000,-917.81,74.28
mslh18hait6618,603711,undefined,1000,-69.17,21.39
mslh18hait6618,603535,undefined,1000,552.54,41.66
mslh18hait6618,603466,undefined,1000,-405.76,22.65
mslh18hait6618,600636,undefined,1000,-142.82,14.36
mslh18hait6618,603733,undefined,1000,-812.90,25.74
mslh18hait6618,002664,undefined,1100,326.04,14.49
mslh18hait6618,300567,undefined,1200,326.78,54.51
mslh18hait6618,300474,undefined,1200,1888.21,65.19
mslh18hait6618,300601,undefined,1200,1412.76,175.50
mslh18hait6618,600600,undefined,1300,2039.45,95.50
mslh18hait6618,688363,undefined,1400,1829.31,147.27
mslh18hait6618,002705,undefined,1400,-244.10,40.31
mslh18hait6618,600763,undefined,1500,-4292.41,266.32
mslh18hait6618,300760,undefined,1500,-394.00,392.62
mslh18hait6618,002534,undefined,1500,22.98,9.15
mslh18hait6618,002311,undefined,1700,-407.42,62.40
mslh18hait6618,600855,undefined,1800,263.12,14.75
mslh18hait6618,603187,undefined,1900,190.75,59.13
mslh18hait6618,002189,undefined,2100,-844.64,21.92
mslh18hait6618,300775,undefined,2100,-2029.68,36.06
