仓位,,,,,,,,,,,
账户,代码,名称,股数,浮盈,均价,,,,,,
msm7haiti,601717,郑煤机,-12800,-479.47,10.37,,,,,,
msm7haiti,2353,杰瑞股份,-7000,-1115.82,33.71,,,,,,
msm7haiti,2214,大立科技,-6200,-1946.01,27.37,,,,,,
msm7haiti,300072,三聚环保,-5600,-1002.73,5.63,,,,,,
msm7haiti,2466,天齐锂业,-4100,-6439.69,35.65,,,,,,
msm7haiti,688389,,-3020,0,20.67,,,,,,
msm7haiti,688030,,-2831,0,29.99,,,,,,
msm7haiti,300357,我武生物,-1700,234.85,74.96,,,,,,
msm7haiti,2382,蓝帆医疗,-1000,404.45,22.3,,,,,,
msm7haiti,2202,金风科技,-1000,-412.53,14.01,,,,,,
msm7haiti,2007,华兰生物,-1000,352.41,42.32,,,,,,
msm7haiti,688015,,-200,0,37.18,,,,,,
msm7haiti,688288,,-100,-2.71,35.69,,,,,,
msm7haiti,300251,光线传媒,-100,15.22,11.18,,,,,,
msm7haiti,688021,,55,0,61.24,,,,,,
msm7haiti,300595,,300,571.04,78.7,,,,,,
msm7haiti,688099,,1300,-1584.11,74.3,,,,,,
msm7haiti,600765,中航重机,1300,153.65,19.85,,,,,,
msm7haiti,2238,天威视讯,9900,851.73,7.13,,,,,,
msm7haiti,100,TCL集团,29600,1747.59,6.71,,,,,,
msm7haiti,813,天山纺织,33000,-9183.47,5.23,,,,,,
总利润：,-24887.86681,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
已完成交易,,,,,,,,,,,
9:33:31,msm7haiti,SJNAT5b22a02292874134a72ad23404c0d558,116,688116,,55.18,-100,0,0,0,废单
9:33:31,msm7haiti,SJNAT120c11c169554cdab146d310f4b0a2e8,117,688030,,29.99,-2300,29.99391,-2300,0,已成
9:33:32,msm7haiti,SJNAT09bfce538caf485aa4a5ce43252a7217,118,688030,,29.98,-900,29.98,-900,0,已成
9:33:54,msm7haiti,SJNAT22f56cd692fe49f99b321cfd8842a677,120,603678,火炬电子,62.12,1200,62.11167,1200,0,已成
9:33:58,msm7haiti,SJNATe17bbb91b468489e9e13f1e43507bab7,121,688389,,20.36,1100,20.36,1100,0,已成
9:33:59,msm7haiti,SJNAT7f65f5de06f246d1bfc61039dbfebcbb,122,100,TCL集团,6.71,18900,6.71,18900,0,已成
9:33:59,msm7haiti,SJNAT4260cd2779f84270802b10871a863826,123,603678,火炬电子,62.22,200,62,200,0,已成
9:33:59,msm7haiti,SJNAT8587461ba15345cab107fb32cbcd2f22,124,2238,天威视讯,7.13,18400,7.13,4500,13900,已撤
9:34:00,msm7haiti,SJNATfa2613bb2d45432b9f75ed4fd16be9c5,125,600765,中航重机,19.86,3600,0,0,3600,已撤
9:34:56,msm7haiti,SJNAT9bf63f5f080a4ae5a4c73d916b027eeb,126,768,中航飞机,32.88,800,32.88,800,0,已成
9:34:58,msm7haiti,SJNAT9ed85cbd94594db392b1b9e17d6eae64,127,300142,沃森生物,38.28,-2300,38.35,-2300,0,已成
9:34:58,msm7haiti,SJNAT45c4b0e0fd8c40498e4432eca01acf37,128,688015,,37.18,-200,37.18,-200,0,已成
9:34:59,msm7haiti,SJNAT834584acb2e4408486969bf3ccec42b8,129,768,中航飞机,32.88,800,32.88,800,0,已成
9:35:01,msm7haiti,SJNAT48e33619cb324ed3a53cd5c6ec8fe3eb,130,300142,沃森生物,38.28,-2300,38.39,-2300,0,已成
9:35:01,msm7haiti,SJNAT54213f4615c947ce87f864d93f7f177c,131,688116,,55.7,-4500,55.80136,-4500,0,已成
9:35:01,msm7haiti,SJNATa7bf513f6123498986c61c04031fb02d,132,688011,,49.32,800,0,0,800,已撤
9:35:25,msm7haiti,SJNATadb5eb23b66e414692882c909e227d49,133,688108,,13.17,-700,13.1749,-700,0,已成
9:35:26,msm7haiti,SJNATd6fad48ecb454f4fb28f4b2ceb7e0fa3,134,688015,,37.18,-2200,0,0,2200,已撤
9:35:28,msm7haiti,SJNATe35e2c71763c4d82800029b3589377bc,135,2085,万丰奥威,6.32,25100,6.32,1200,23900,已撤
9:35:30,msm7haiti,SJNATa7e17d0cfda6479e9c6cd3bdeeb18c36,136,300142,沃森生物,38.44,-900,38.47,-900,0,已成
9:35:56,msm7haiti,SJNATf6cbcff6669446c1aac1c2dd58745680,139,2085,万丰奥威,6.34,24800,6.34,24800,0,已成
9:35:59,msm7haiti,SJNATc29f8ebe1a0d47e3afccc263678fedc7,140,688389,,20.39,-1100,0,0,1100,已撤
9:35:59,msm7haiti,SJNAT097a836b0e4b4f13916f10070249a0d8,141,688022,,33.26,-1000,0,0,1000,已撤
9:35:59,msm7haiti,SJNAT7b70eb1888ed415fa9aef57723dbaa1b,142,688138,,23.04,-4000,0,0,4000,已撤
9:35:59,msm7haiti,SJNATb44300af2fa447f88957cc181466277c,143,2353,杰瑞股份,33.68,-1200,33.69167,-1200,0,已成
9:36:30,msm7haiti,SJNAT629fbf71cc854eca99862c2f6b6f5693,150,768,中航飞机,32.67,5000,32.67,5000,0,已成
9:36:32,msm7haiti,SJNAT7861db4c0e35434c91621306568156c2,151,688022,,33.14,-500,33.14,-500,0,已成
9:36:33,msm7haiti,SJNATfb2d7a02be2a4fe5964b6875847c62bb,152,688138,,23.03,-3200,0,0,3200,已撤
9:37:01,msm7haiti,SJNATdb1fec34514a48d0b0f02cc3dfd8ecb8,153,600733,S前锋,8.47,24200,8.47,24200,0,已成
9:37:31,msm7haiti,SJNAT91b01d99590347baadba89e0fa324104,154,300251,光线传媒,11.16,-100,11.18,-100,0,已成
9:37:32,msm7haiti,SJNAT9d0d1ee6d83745dabada15ba03342e39,155,2353,杰瑞股份,33.72,-5000,33.74,-5000,0,已成
9:37:53,msm7haiti,SJNAT7128bbdd6c1448f5aff820eeb08c2e19,156,688015,,37.32,-1200,0,0,1200,已撤
9:37:53,msm7haiti,SJNAT9ab241c110b54013ab0ddf5101c7e99e,157,603678,火炬电子,63.37,-900,63.37111,-900,0,已成
9:37:58,msm7haiti,SJNAT6e960493c09c40999baba2af14eb9ade,158,603678,火炬电子,63.43,-1600,0,0,1600,已撤
9:37:58,msm7haiti,SJNAT5543cf1f63cc466199e6ba7f5da1ca03,159,2074,国轩高科,36.62,-1000,36.65,-1000,0,已成
9:38:24,msm7haiti,SJNAT20767c16c79a49c6b43adccd91617b8e,163,603678,火炬电子,62.92,-1300,62.92,-1300,0,已成
9:38:31,msm7haiti,SJNAT5f94934b7d0a4455b08ac4daefd5bae6,164,603678,火炬电子,62.85,-700,62.91,-700,0,已成
9:38:59,msm7haiti,SJNATe2263e9dfb774320b9b8579bf0e14573,165,2027,分众传媒,9.61,18700,0,0,18700,已撤
9:39:30,msm7haiti,SJNAT0430cee7669442368f1b38f6f145b541,166,601238,广汽集团,13.27,-1000,13.27,-1000,0,已成
9:39:56,msm7haiti,SJNATbeba76e865c24f19b5e441cb84ea3f0d,167,688011,,49.76,500,0,0,500,已撤
9:39:58,msm7haiti,SJNATed802baf0cf64446b75d5e01a4eeb673,168,688389,,20.58,-1100,0,0,1100,已撤
9:40:33,msm7haiti,SJNAT1bff578baf294a04b958740ec7d2d3ad,172,688022,,32.75,500,32.75,500,0,已成
9:40:54,msm7haiti,SJNAT629cda7eb8d04d3bae768627e6baa58a,173,688389,,20.53,-1100,20.53,-800,300,已撤
9:40:57,msm7haiti,SJNAT82e8ec8178ab4cbd87b2d66a383225f7,174,2238,天威视讯,7.11,3500,7.11,3500,0,已成
9:41:25,msm7haiti,SJNAT13f5b7fa931847fbbef566ee04987403,176,688021,,62,-800,0,0,800,已撤
9:41:27,msm7haiti,SJNATe758dd646e1841bbb1c99c4d72308df7,177,601717,郑煤机,10.38,-20300,0,0,0,废单
9:41:29,msm7haiti,SJNAT4896f2bb93454627a60566ebe6328fa8,178,2007,华兰生物,42.31,-1000,42.32,-1000,0,已成
9:41:30,msm7haiti,SJNAT9278190e64b3481ab3f28b0f3f49bc87,179,601717,郑煤机,10.36,-5800,10.36,-5800,0,已成
9:41:32,msm7haiti,SJNAT9d5a46c8b6a24246b3f2eaaaa41f4a60,180,688021,,61.97,-500,0,0,500,已撤
