未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
10:01:26.567,mslh18hait6618,5739,000733,振华科技,55,1800,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
mslh18hait6618,002573,undefined,-100,4.14,5.36
mslh18hait6618,300119,undefined,-100,6.92,19.29
mslh18hait6618,300109,undefined,-100,16.73,14.21
mslh18hait6618,600612,undefined,-100,-15.18,44.85
mslh18hait6618,300765,undefined,-100,26.82,19.90
mslh18hait6618,300673,undefined,-100,21.21,29.96
mslh18hait6618,002014,undefined,-100,-2.61,10.03
mslh18hait6618,300684,undefined,-100,3.45,22.20
mslh18hait6618,603595,undefined,-100,40.74,20.43
mslh18hait6618,002749,undefined,-100,10.21,11.18
mslh18hait6618,000676,undefined,-100,13.17,5.23
mslh18hait6618,600648,undefined,-100,10.76,14.03
mslh18hait6618,300286,undefined,-100,21.41,16.24
mslh18hait6618,000537,undefined,-100,1.01,6.18
mslh18hait6618,603558,undefined,-100,8.71,8.07
mslh18hait6618,603599,undefined,-100,-16.54,22.12
mslh18hait6618,000688,undefined,-100,7.36,10.28
mslh18hait6618,603387,undefined,-100,73.85,32.34
mslh18hait6618,002301,undefined,-100,-3.10,13.13
mslh18hait6618,300522,undefined,-100,9.13,24.19
mslh18hait6618,300288,undefined,-100,11.22,11.15
mslh18hait6618,002208,undefined,-100,6.65,8.44
mslh18hait6618,002845,undefined,-100,29.78,26.43
mslh18hait6618,300723,undefined,-100,22.63,39.87
mslh18hait6618,000948,undefined,-100,2.40,10.03
mslh18hait6618,300246,undefined,-100,8.51,28.10
mslh18hait6618,002621,undefined,-100,-0.97,6.08
mslh18hait6618,000058,undefined,-100,0.97,6.44
mslh18hait6618,300359,undefined,-100,-0.96,6.01
mslh18hait6618,000599,undefined,-100,-0.68,4.26
mslh18hait6618,688005,undefined,-50,26.84,51.05
mslh18hait6618,002530,undefined,100,-10.22,7.71
mslh18hait6618,000736,undefined,100,1.90,6.82
mslh18hait6618,300658,undefined,100,-21.36,27.36
mslh18hait6618,300578,undefined,100,-51.16,38.85
mslh18hait6618,000955,undefined,100,-8.11,7.01
mslh18hait6618,603727,undefined,100,-24.45,15.48
mslh18hait6618,300475,undefined,100,-12.58,9.97
mslh18hait6618,300271,undefined,200,-23.55,23.66
mslh18hait6618,603959,undefined,200,-27.34,10.53
mslh18hait6618,000561,undefined,200,-8.18,6.84
mslh18hait6618,002377,undefined,200,-5.23,3.87
mslh18hait6618,600976,undefined,300,-114.28,25.86
mslh18hait6618,300114,undefined,300,-27.94,14.52
mslh18hait6618,002901,undefined,300,-305.42,74.52
mslh18hait6618,603256,undefined,300,34.98,8.27
mslh18hait6618,600136,undefined,500,-5.36,6.70
mslh18hait6618,603283,undefined,500,-112.96,41.33
mslh18hait6618,000030,undefined,600,4.69,7.60
mslh18hait6618,000576,undefined,600,-63.81,10.29
mslh18hait6618,600809,undefined,600,912.41,316.67
mslh18hait6618,000988,undefined,700,-33.37,23.55
mslh18hait6618,688363,undefined,700,-1206.57,153.50
mslh18hait6618,600685,undefined,700,153.71,25.05
mslh18hait6618,002174,undefined,900,224.11,12.90
mslh18hait6618,000799,undefined,900,-2978.01,126.84
mslh18hait6618,300307,undefined,1000,-28.55,5.36
mslh18hait6618,002967,undefined,1000,350.28,30.75
mslh18hait6618,002487,undefined,1000,-24.90,9.32
mslh18hait6618,300638,undefined,1000,-273.81,58.78
mslh18hait6618,300623,undefined,1200,-242.64,45.23
mslh18hait6618,300474,undefined,1200,583.99,64.11
mslh18hait6618,002773,undefined,1300,1525.11,42.69
mslh18hait6618,300301,undefined,1400,45.02,4.87
mslh18hait6618,600183,undefined,1400,-366.18,26.15
mslh18hait6618,300453,undefined,1400,-455.99,16.31
mslh18hait6618,300415,undefined,1500,58.49,13.08
mslh18hait6618,002918,undefined,1800,366.96,31.06
mslh18hait6618,603229,undefined,1800,-231.52,36.00
mslh18hait6618,002088,undefined,1900,-14.13,10.89
mslh18hait6618,603187,undefined,1900,-1640.78,57.79
mslh18hait6618,603277,undefined,1900,-207.83,12.19
mslh18hait6618,600933,undefined,2200,-363.43,15.86
mslh18hait6618,603378,undefined,2300,-1004.30,41.96
mslh18hait6618,600822,undefined,2600,-227.40,10.97
mslh18hait6618,002549,undefined,2800,-234.41,8.63
mslh18hait6618,002151,undefined,2800,960.01,52.55
mslh18hait6618,300775,undefined,2800,-155.88,36.75
mslh18hait6618,002651,undefined,3300,-717.54,11.06
mslh18hait6618,600600,undefined,3500,9265.60,96.13
mslh18hait6618,300680,undefined,3500,-887.09,31.25
mslh18hait6618,002413,undefined,3700,-300.28,7.03
mslh18hait6618,002286,undefined,3800,50.98,10.34
mslh18hait6618,603619,undefined,3900,-802.69,10.04
mslh18hait6618,002050,undefined,4000,484.35,24.19
mslh18hait6618,300690,undefined,4100,2497.76,66.37
mslh18hait6618,300379,undefined,4300,156.24,39.71
mslh18hait6618,300604,undefined,4400,-1077.03,30.85
mslh18hait6618,600435,undefined,4600,-660.96,8.66
mslh18hait6618,002214,undefined,4800,652.89,26.56
mslh18hait6618,002517,undefined,5200,-194.57,4.66
mslh18hait6618,600641,undefined,5300,1214.41,19.08
mslh18hait6618,300326,undefined,6000,24.16,16.21
mslh18hait6618,688008,undefined,6000,-796.29,85.27
mslh18hait6618,300073,undefined,6300,966.17,58.41
mslh18hait6618,600732,undefined,6500,338.16,17.42
mslh18hait6618,603711,undefined,6500,-736.52,21.00
mslh18hait6618,601865,undefined,7100,-348.67,38.40
mslh18hait6618,002096,undefined,7200,-451.58,7.99
mslh18hait6618,600363,undefined,8300,1248.80,24.56
mslh18hait6618,002733,undefined,8400,2683.84,22.71
mslh18hait6618,002126,undefined,9500,78.51,13.56
mslh18hait6618,002030,undefined,9700,-2180.44,34.38
mslh18hait6618,600536,undefined,10400,771.47,75.83
mslh18hait6618,300719,undefined,10400,-1338.60,20.46
mslh18hait6618,300364,undefined,11300,198.44,7.75
mslh18hait6618,002555,undefined,13700,-1664.60,29.28
mslh18hait6618,300225,undefined,16000,784.51,13.40
mslh18hait6618,601011,undefined,19400,-1097.86,4.16
mslh18hait6618,600197,undefined,20200,-35579.28,29.47
mslh18hait6618,600971,undefined,21600,-4746.45,6.26
mslh18hait6618,300008,undefined,22000,-450.28,6.55
mslh18hait6618,300393,undefined,23400,4066.84,12.59
mslh18hait6618,600081,undefined,30500,-6358.27,13.89
mslh18hait6618,000550,undefined,34100,-5550.55,20.96
mslh18hait6618,601001,undefined,36340,-4835.22,6.24
mslh18hait6618,300129,undefined,37000,3533.68,7.99
mslh18hait6618,600155,undefined,41200,-4951.15,12.69
mslh18hait6618,000655,undefined,41400,-3807.47,8.30
mslh18hait6618,600746,undefined,42600,1258.05,6.51
mslh18hait6618,600300,undefined,72200,-11379.67,4.88
总利润：,-78876.46119976



已完成交易
时间,账户,qid,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
09:54:29,mslh18hait6618,SJNAT53ba32eafa0c453bb9c9b44a8ea98062,5368,000657,中钨高新,7.22,400,7.22,400,0,已成
09:54:29,mslh18hait6618,SJNATf133c7ab2d354a9196fc73d62b0428ac,5372,603185,上机数控,135.68,-1500,135.68,-1500,0,已成
09:54:30,mslh18hait6618,SJNAT409c5d33b7864069a01c86958b152271,5373,603158,腾龙股份,20.75,100,20.75,100,0,已成
09:54:30,mslh18hait6618,SJNAT2f4c886098534062b41000f4ca241bc6,5376,300310,宜通世纪,4.98,-600,0,0,600,已撤
09:54:33,mslh18hait6618,SJNAT743c08e761704bdbb6aaae40184d3d57,5382,603855,华荣股份,14.98,100,14.98,100,0,已成
09:54:33,mslh18hait6618,SJNAT845f8de3b99748de898b2f7b9a72b656,5384,603313,梦百合,31.1,-100,31.11,-100,0,已成
09:54:34,mslh18hait6618,SJNAT9678de99227f446d8a2e38c0dae39c18,5385,002416,爱施德,8.17,-9000,8.18,-9000,0,已成
09:54:56,mslh18hait6618,SJNATd7e1d3f65932447287235eb2c6de5efc,5399,000626,远大控股,13.44,5000,13.4396,5000,0,已成
09:54:56,mslh18hait6618,SJNAT2e050c0007b54c9da227d19cae1f6939,5402,600548,深高速,8.89,-100,0,0,100,已撤
09:54:56,mslh18hait6618,SJNATb2979e4db06c47da9186592764ae3bd3,5404,000998,隆平高科,19.59,-7400,19.6,-7400,0,已成
09:54:58,mslh18hait6618,SJNATd9f8371df76f4af7b2388879c1b758da,5407,002773,康弘药业,44.26,-1000,0,0,1000,已撤
09:54:58,mslh18hait6618,SJNATed7f43d8aba446c192ffd8bf24a457ad,5410,603128,华贸物流,8.83,12600,0,0,12600,已撤
09:54:59,mslh18hait6618,SJNAT0fd5b66514e94722ade4a0bd4d4c0356,5413,688333,铂力特,145.59,-100,0,0,0,废单
09:54:59,mslh18hait6618,SJNAT9e62d51a07784c6796b0cff12755d452,5415,300775,三角防务,36.92,-3200,36.9325,-400,2800,已撤
09:55:00,mslh18hait6618,SJNAT2deb8b8b55304ca5a8cfed2392f4428f,5419,000998,隆平高科,19.57,-6800,19.57,-6800,0,已成
09:55:00,mslh18hait6618,SJNATa5e3c14dced8496997d5f1f096ab03b0,5421,000626,远大控股,13.46,3000,13.45,3000,0,已成
09:55:02,mslh18hait6618,SJNATfc4fedc5387a4a6598ee4f8ab8eaf634,5422,002402,和而泰,17.29,2500,17.27,2500,0,已成
09:55:02,mslh18hait6618,SJNATf4da8dc0d4ab4e57a2b5ef7847710bc4,5425,688333,铂力特,144.85,-100,0,0,0,废单
09:55:28,mslh18hait6618,SJNATed5532a390754fabacb4987f06fe1821,5433,603185,上机数控,136.49,-200,136.59,-200,0,已成
09:55:28,mslh18hait6618,SJNAT81ee57a5b7ba453ead94c2859d98807d,5434,002124,天邦股份,14.58,-13400,14.58,-13400,0,已成
09:55:29,mslh18hait6618,SJNATe4e094cd63ff4afabd8d86b8794696c7,5440,600094,大名城,4.04,-1400,0,0,1400,已撤
09:55:29,mslh18hait6618,SJNAT40e19f7de3b54eb3876841d508fc3d60,5443,600731,湖南海利,11.53,3600,11.53,3600,0,已成
09:55:32,mslh18hait6618,SJNATcea390866160449d9ca7a2f489fd6ef5,5448,688333,铂力特,144.98,-100,0,0,0,废单
09:55:33,mslh18hait6618,SJNATed0806a9a8ab4c2a8da4c63fc13d5675,5450,600731,湖南海利,11.66,400,11.64,400,0,已成
09:55:33,mslh18hait6618,SJNAT49d442a86727435690966ea1887944b0,5451,600809,山西汾酒,318.76,-300,319,-300,0,已成
