未完成交易
时间,账户,委托号,代码,名称,委托价,委托量,成交价,成交量,撤单量,状态
13:07:57.089,mslh18hait6618,8014,002285,世联行,4.73,-1700,0,0,0,已报
13:07:58.024,mslh18hait6618,8018,603078,江化微,33.32,-100,0,0,0,已报
13:09:01.255,mslh18hait6618,8024,300297,蓝盾股份,4.95,-4900,0,0,0,已报



仓位
账户,代码,名称,股数,浮盈,均价
11:21:00,mslh18hait6618,SJNAT46f8ab208d5c413e84354eee8401108f,7721,600300,维维股份,4.76,-169900,4.76,-79600,90300,已撤
11:21:02,mslh18hait6618,SJNATa1f480dbdd504cc1838121a3abdb5155,7725,300406,九强生物,25.04,-1100,25.04,-1100,0,已成
11:21:24,mslh18hait6618,SJNAT6be278ece473427baab7fb26ed460778,7728,600460,士兰微,25.24,-8500,25.24,-8500,0,已成
11:21:28,mslh18hait6618,SJNATaf85bfeebf8c423db62e0e420da896d5,7731,601216,君正集团,4.95,-1500,0,0,1500,已撤
11:21:28,mslh18hait6618,SJNATcce015a6357841d7ac1190ca2bebc42f,7735,000960,锡业股份,11.5,-10300,11.5,-10300,0,已成
11:21:28,mslh18hait6618,SJNAT883656f59ab74e5caed908c994a0e996,7738,002537,海联金汇,7.07,-6000,7.07,-1000,5000,已撤
11:21:28,mslh18hait6618,SJNAT207c090ef822471d8d8cd3a2ccec1614,7739,600460,士兰微,25.2,-100,25.22,-100,0,已成
11:21:31,mslh18hait6618,SJNATc28c19d120664c39a49642a6b14d1085,7749,002288,超华科技,7.73,23900,7.73,23900,0,已成
11:21:31,mslh18hait6618,SJNAT18a7650961db49cb858cfb55b35c8f6b,7750,000960,锡业股份,11.49,-10300,11.49,-10300,0,已成
11:21:31,mslh18hait6618,SJNATee96317c3ed04091b48761009eed02d3,7752,002537,海联金汇,7.06,-10500,7.06,-10500,0,已成
11:21:31,mslh18hait6618,SJNAT6aeb5a2902f542b290b86007f71b8bd7,7756,600460,士兰微,25.16,-3300,25.1603,-3300,0,已成
11:21:31,mslh18hait6618,SJNATd00eea0593604560a9cec037a04263b4,7759,600765,中航重机,22.55,-3600,22.55056,-3600,0,已成
11:21:54,mslh18hait6618,SJNAT58b06aee20164f16a7b5948759f925fa,7763,600460,士兰微,25.12,-6600,25.12227,-6600,0,已成
11:21:56,mslh18hait6618,SJNAT7cef7f16e6f243aca57ae96afed4fe51,7766,002537,海联金汇,7.05,-22200,7.05,-22200,0,已成
11:21:56,mslh18hait6618,SJNAT378f7b21425a43b5958e02e72b8a73cf,7767,600765,中航重机,22.67,-3600,22.67,-3600,0,已成
11:21:57,mslh18hait6618,SJNAT3d6f2736f1cc45389f989b7bcd9a7932,7770,600460,士兰微,25.09,-5700,25.10614,-5700,0,已成
11:21:59,mslh18hait6618,SJNAT7d601a0bf4a44915a2631cdc4c91f2bf,7773,000960,锡业股份,11.53,-10300,11.53,-600,9700,已撤
11:22:00,mslh18hait6618,SJNAT936b7ad7b83b4360a880b0c6c323b5ac,7776,002677,浙江美大,15.15,200,15.15,200,0,已成
11:22:31,mslh18hait6618,SJNAT2d8e2012c0af4e7bb7595a51d0d8d4cd,7784,002613,北玻股份,4.35,7100,0,0,7100,已撤
11:22:56,mslh18hait6618,SJNATa571eb3d1e114f90b15ae39d67e94ba7,7792,002068,黑猫股份,6.05,500,6.05,500,0,已成
11:22:56,mslh18hait6618,SJNAT2764f817292243c3aa56c6580d45bcf2,7795,603300,华铁应急,6.02,100,0,0,100,已撤
11:22:59,mslh18hait6618,SJNATf9362a5b783d41adbc2f9e3b9dcd6316,7800,002613,北玻股份,4.35,3800,4.35,3800,0,已成
11:23:24,mslh18hait6618,SJNAT51dffd694c2149358813e92e66e1e7be,7804,688005,容百科技,51.89,2100,51.84,2100,0,已成
11:23:28,mslh18hait6618,SJNAT991dcde0de9e431bba8dbbdc9635cd0a,7807,002600,领益智造,11.83,21700,11.83,21700,0,已成
11:23:31,mslh18hait6618,SJNAT95fbfbfa4c1246ab9cecacb4b4d3446f,7810,002600,领益智造,11.83,15000,11.83,15000,0,已成
11:23:32,mslh18hait6618,SJNAT0b9ba2d1ea2e49ba87055b60d367b2e0,7811,688005,容百科技,52.01,9300,52,9300,0,已成
11:23:56,mslh18hait6618,SJNAT93247b3c86844652b322102c7337c712,7813,603300,华铁应急,6.03,100,0,0,100,已撤
11:24:28,mslh18hait6618,SJNAT7f34fc1161454760afb91be1ff6d0e42,7815,002435,长江健康,4.08,-400,0,0,400,已撤
11:24:28,mslh18hait6618,SJNATd440e69d2c7d4bd0976b78dd05179d74,7816,603758,秦安股份,9.75,4400,9.75,4400,0,已成
11:24:28,mslh18hait6618,SJNAT9bed0cea734d43058795d0f2d9ff0181,7819,000811,冰轮环境,8.49,-16100,8.49,-16100,0,已成
11:24:56,mslh18hait6618,SJNAT47676a259241487fb53f40d41d437b16,7826,000738,航发控制,22.43,10700,22.42,10700,0,已成
11:25:54,mslh18hait6618,SJNATf8dc107866bd425db002dab0049bb857,7830,603131,上海沪工,27.94,800,27.93,800,0,已成
11:25:58,mslh18hait6618,SJNAT68e935e7e02e44c496a8faa2204d5ff3,7831,002850,科达利,95.41,200,95.41,200,0,已成
11:25:58,mslh18hait6618,SJNAT1257abf688ff4cf1a633d10c80ebcba9,7834,603131,上海沪工,27.96,3100,0,0,3100,已撤
11:26:24,mslh18hait6618,SJNATac653d33da074231a4be9296823dbfee,7844,603818,曲美家居,8.6,400,0,0,400,已撤
11:26:28,mslh18hait6618,SJNATd3220a730f124bc7811928adb6ad3ce7,7846,600740,山西焦化,6.14,49200,6.14,49200,0,已成
11:26:31,mslh18hait6618,SJNATd6e7a4c73c334529937e041f75c6d2f0,7851,603818,曲美家居,8.62,400,0,0,400,已撤
11:26:57,mslh18hait6618,SJNAT33911fbbea9e4442af5fcef2077dc87b,7853,603755,日辰股份,77.45,-100,0,0,100,已撤
11:26:59,mslh18hait6618,SJNAT65ce2a1b020441ffb4f47551706f6692,7854,603008,喜临门,19.91,1700,0,0,1700,已撤
11:27:01,mslh18hait6618,SJNATcf15f4655d6e49b5b0a49eba5ddac077,7860,601226,华电重工,4.28,-300,4.28,-300,0,已成
11:27:28,mslh18hait6618,SJNAT9cb90f33bd87499e98440fe6e9eaa0a1,7865,603755,日辰股份,77.48,-100,0,0,100,已撤
11:27:31,mslh18hait6618,SJNATe326b4bddbc74aecabd292e87d1a80a8,7866,603008,喜临门,19.96,1700,0,0,1700,已撤
11:28:27,mslh18hait6618,SJNATbfd331cf4fc846a3a9a3d0831f21c150,7875,002380,科远智慧,14.01,100,0,0,100,已撤
11:28:56,mslh18hait6618,SJNATf56968e3817b438a86bcc5327e95265e,7877,600850,华东电脑,26.2,900,0,0,900,已撤
11:28:57,mslh18hait6618,SJNAT0cf89a2ac71b4851b395eb3e3dbd7077,7879,600508,上海能源,10.54,-1400,10.55,-1400,0,已成
11:29:00,mslh18hait6618,SJNAT02ba1132c7ae4fe5b8c28fc44fa147d5,7884,600508,上海能源,10.52,-6100,10.52,-6100,0,已成
11:29:28,mslh18hait6618,SJNAT2f16a9fabfb749678b02a174b3b8ecdf,7886,002285,世联行,4.77,1700,4.77,1700,0,已成
11:29:28,mslh18hait6618,SJNATcccc2b9972484ea8ad0950bf45ea41af,7889,600110,诺德股份,9.01,26200,9.01,26200,0,已成
11:29:56,mslh18hait6618,SJNAT1a6164786f764db08752b35d2319c9b7,7893,000729,燕京啤酒,8.76,-7600,8.76,-7600,0,已成
11:30:00,mslh18hait6618,SJNATd7389b9a7fe44d1eb3f3f06b2971d9f4,7894,000729,燕京啤酒,8.75,-14300,0,0,0,废单
13:00:31,mslh18hait6618,SJNAT8f0669484e174c1e9f020c9e536006c6,7895,300083,劲胜智能,11.75,5700,11.75,5700,0,已成
13:00:56,mslh18hait6618,SJNAT9007a163e7884ba5b8b54e026cd7bb85,7903,600536,中国软件,76.25,-1900,76.26053,-1900,0,已成
13:00:58,mslh18hait6618,SJNAT726b27510ac3493f8e1881900e916d47,7906,600997,开滦股份,6.05,-7900,6.05,-7900,0,已成
13:01:30,mslh18hait6618,SJNATf05dabfd471240bfb0ea9594b80dc53b,7910,002049,紫光国微,131.09,600,131,600,0,已成
13:01:55,mslh18hait6618,SJNAT890138a3c4694ca9a20d3a3003844f9c,7913,600761,安徽合力,14.08,800,14.08,800,0,已成
13:01:56,mslh18hait6618,SJNATa5828b534c224753988df10855a6171a,7916,603128,华贸物流,9.32,-8900,9.32,-8900,0,已成
13:01:59,mslh18hait6618,SJNAT3b1508b6e2384e658514601a6264d2fa,7917,002285,世联行,4.77,-1700,0,0,1700,已撤
13:02:28,mslh18hait6618,SJNATb35ed6ff9d094bdcb2e0672c80044dda,7925,600508,上海能源,10.42,-7500,10.42773,-7500,0,已成
13:02:31,mslh18hait6618,SJNAT3100b7941adb4647ac202b47a1ed14da,7926,002435,长江健康,4.09,-700,0,0,700,已撤
13:02:32,mslh18hait6618,SJNAT0abd154cf2974e69a816e70d800a0759,7928,600508,上海能源,10.42,-4100,10.42,-4100,0,已成
13:03:01,mslh18hait6618,SJNATec3c8509f18542248f108aaa9ca88fab,7929,300762,上海瀚讯,40.79,-200,40.8,-200,0,已成
13:03:31,mslh18hait6618,SJNATbe885da68f2648589232c2f7eb9b4143,7934,000796,凯撒旅业,13.28,-400,13.31,-400,0,已成
