stock_code,current_amount,cost_price,income_balance,last_price
600903,14900,0,13527.35,13.22
600908,300,0,-9.29,5.78
600909,3600,0,-2093.06,7.67
600917,500,0,-50.33,6.96
600928,300,0,21.52,5.46
600933,4337,0,-4042.44,15.52
600961,1200,0,-126.23,7.06
600963,100,0,19.37,4.16
600965,26000,0,-12336.04,5.7
600966,1000,0,-5466.11,14.45
600967,600,0,1477.9,11.76
600970,3200,0,100.2,6.96
600971,68115,0,15887.88,6.13
600973,600,0,31.7,4.33
600983,0,0,0,
600984,39580,0,-246573.56,12.77
600985,9800,0,2779.97,11.3
600986,1200,0,73.13,4.28
600987,300,0,39.69,5.59
600988,14400,0,-16381.1,17.4
600989,3309,0,-6776.29,11.55
600993,300,0,-50.02,19.7
600995,1900,0,-279.66,8.1
155,1500,0,2193.26,7.52
156,0,0,0,
157,16500,0,-274840.74,9.28
301,719,0,29736.91,9.17
400,800,0,625.54,14.6
403,300,0,-14809.2,35.83
423,1000,0,-16209.52,39.77
425,5300,0,-27.05,5.3
426,8500,0,-14008.22,7.69
429,100,0,-0.09,6.19
488,7000,0,-138451.26,6.4
498,0,0,0,
503,600,0,-71,8.2
513,2200,0,-14515.08,41.02
516,41700,0,-462.55,12.17
524,4800,0,-694.44,7.75
525,0,0,0,
526,0,0,0,
528,7200,0,-10737.2,7.31
529,100,0,-1.1,6.74
531,700,0,-997.92,9.6
534,800,0,-2728,12.13
537,100,0,4.91,6.24
538,2500,0,11923.81,110.5
541,3100,0,-383.11,5.85
544,200,0,-128.09,6.89
546,100,0,-3.11,7.48
547,13800,0,-6423.9,25.59
550,35300,0,-53427.73,20.48
600997,7900,0,643.52,5.84
600999,348,0,-64875.8,20.87
601001,108532,0,60335.83,6.28
601002,0,0,0,
601003,900,0,36.46,5.14
601011,38800,0,-1485.93,4.1
601015,101200,0,-12910.59,4.22
601019,100,0,0.91,5.62
601020,5400,0,-2878.66,9.95
601021,1200,0,840.54,52
601028,300,0,48.4,11.99
601058,18000,0,-98474.41,5.46
601069,100,0,-16.23,13.36
601088,14400,0,-5711.18,18.05
601098,200,0,-128.35,9.54
601101,35400,0,5615.4,4.71
601108,1300,0,686.44,12.02
601111,68000,0,-37565.7,7.12
601116,200,0,29.65,10.34
601118,800,0,-144.67,4.7
601126,300,0,-2874.28,7.04
601127,36200,0,-66017.37,15.17
601128,3900,0,-10910.97,7.07
601137,1300,0,-1035.92,11.38
601139,800,0,-57.07,7.3
601163,600,0,-92.66,15.21
601166,0,0,0,
601168,200482,0,245464.57,12.02
601200,0,0,0,
553,100,0,-156.48,7.82
555,0,0,0,
559,2300,0,-2701.64,5.38
560,6600,0,-547.25,4.16
561,200,0,42.11,6.95
566,1600,0,-194.12,8.71
581,500,0,-931.86,22.88
582,0,0,0,
589,1400,0,-877.13,6.05
596,1300,0,38120.79,273.6
598,200,0,-0.14,4.8
599,100,0,-22.23,4.1
600,2100,0,-1611.12,5.71
601,0,0,0,
603,47400,0,-43440.85,15.64
612,0,0,0,
625,134800,0,-26307.4,21.23
626,3700,0,3600.34,12.57
636,33408,0,-144827.92,32.6
651,1200,0,-1052.26,60.87
655,175300,0,-173740.05,7.57
656,1000,0,-60271.08,7.08
657,3000,0,-1064.59,6.93
661,5900,0,225247.22,430.7
671,300,0,7.71,6.43
672,300,0,66.69,19.32
676,0,0,0,
681,300,0,-36.52,12.65
690,4000,0,179.78,7.39
601208,2500,0,-10183.73,10.29
601216,1500,0,1207.99,5.07
601222,32500,0,6891.93,7.56
601225,8700,0,-4990.51,9.23
601226,300,0,57.97,4.3
601231,100,0,2912.7,19.44
601236,6600,0,10447.44,18.1
601238,49900,0,-121745.16,12.92
601311,4,0,707.67,9.02
601318,24500,0,-70868.13,85.5
601336,3000,0,-22440.02,57.27
601366,2600,0,251.99,6.92
601368,100,0,-38.1,5.35
601369,500,0,-11.44,7.05
601375,700,0,1058.78,6.43
601377,4864,0,-14997.85,8.25
601398,79600,0,-63581.04,4.98
601500,100,0,3.9,5.84
601555,0,0,0,
601566,5900,0,-10571.77,11.4
601567,400,0,-228.49,6.63
601577,2400,0,-40321.8,9.25
601598,10600,0,-9154.75,4.48
601601,50800,0,-126013.92,36.26
601615,6900,0,12183.65,18.49
601633,2500,0,222532.8,33.99
601666,14800,0,6908,5.82
601668,17000,0,-6783.45,4.95
601677,1700,0,-29977.57,13.79
700,300,0,-17.35,5.41
703,1100,0,-111.97,11.85
708,400,0,7142.17,21.15
710,0,0,0,
717,1700,0,-350.67,4.22
601678,1400,0,-6174.71,5.23
601689,2900,0,-8269.79,37.67
601698,0,0,0,
601699,14400,0,-12873.9,6.48
601717,29876,0,-201625.52,11.18
601727,35100,0,1831.44,5.46
601788,1000,0,602.76,17.45
601799,0,0,0,
601808,0,0,0,
601811,100,0,-11.16,9
601838,77000,0,-58537.43,10.5
601860,18700,0,-32692.39,4.1
601865,8114,0,-40876.66,35.19
601872,1200,0,-25.17,5.65
601878,1400,0,-255.35,13.87
601882,0,0,0,
601888,5400,0,-8625.67,255.15
601890,15900,0,7211.6,6.2
601898,54100,0,7247.91,4.37
601899,189700,0,-29875.94,9.1
601900,100,0,-9.14,8.17
601908,33600,0,129281.96,9.5
601919,119712,0,708204.53,12.05
601933,4800,0,101.97,7.07
601939,36300,0,-68257.83,6.25
601949,0,0,0,
601958,31600,0,-7784.37,6.09
601965,45700,0,-43912.16,14.59
601966,2316,0,-3588.44,31.75
601968,2900,0,-616.99,8.1
601969,16800,0,-22823.83,5.88
603005,200,0,-2926,62.5
603008,1700,0,-93.98,18.47
603010,800,0,-6463.05,22.02
603012,200,0,-8.22,6.26
603013,400,0,-325.01,14.08
603018,200,0,-1618.7,10.45
603027,0,0,0,
